class,subclass,r_id,r_name,classification_notes,additional_info,link
Identity,Exact equivalence,NDFRT to ATC eq,NDFRT to ATC equivalent (NDF-RT),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Cholera Vaccines] -> [Cholera vaccines]",Is a cross-link between ATC Classes and National Drug File - Reference Terminology.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
Identity,Exact equivalence,NDFRT to VA Class eq,NDFRT to VA Class equivalent (NDF-RT),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Immune Sera] -> [IMMUNE SERUMS]",,
Identity,Exact equivalence,Nebraska-CAP eq,Nebraska Lexicon to CAP equivalent,"Explicitly tagged as equivalent, representing exact semantic identity.",,
Identity,Exact equivalence,OncoTree to ICDO eq,OncoTree to ICDO equivalent,"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Soft Tissue] -> [Neoplasm defined only by topography: Connective, Subcutaneous and other soft tissues, NOS]",,
Identity,Exact equivalence,Prep to Chem eq,Pharmaceutical Preparation to Chemical Structure equivalent (NDF-RT),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [BUTTER] -> [Butter]",,
Identity,Exact equivalence,RxNorm - NDFRT eq,RxNorm to NDF-RT equivalent (RxNorm),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [hepatitis B immune globulin] -> [hepatitis B hyperimmune globulin]",,
Identity,Exact equivalence,RxNorm - SNOMED eq,RxNorm to SNOMED equivalent (RxNorm),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [hepatitis B immune globulin] -> [Hepatitis B surface antigen immunoglobulin-containing product]",,
Identity,Exact equivalence,RxNorm - Source eq,RxNorm to Drug Source equivalent (OMOP),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [hepatitis B immune globulin] -> [Hepatitis B Immune Globulin Human]",,
Identity,Exact equivalence,RxNorm - VAProd eq,RxNorm to VA Product equivalent (NDF-RT),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [0.5 ML hepatitis B immune globulin 217 UNT/ML Prefilled Syringe [Bayhep B]] -> [HEPATITIS B IMMUNE GLOBULIN (BAYHEP) INJ,SYR,0.5ML]",,
Identity,Exact equivalence,SNOMED - ATC eq,SNOMED to ATC equivalent (RxNorm),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [COVID-19 vaccine] -> [Covid-19 vaccines]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Identity,Exact equivalence,SNOMED - CPT4 eq,SNOMED to CPT-4 equivalent (OMOP),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Hospital admission] -> [Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines; with hysterotomy (failed medical evacuation)]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Identity,Exact equivalence,SNOMED - ICD9P eq,SNOMED to ICD-9-Procedure equivalent (OMOP),"Explicitly tagged as equivalent, representing exact semantic identity.",,
Identity,Exact equivalence,SNOMED - LOINC eq,SNOMED to LOINC Hierarchy equivalent (LOINC),"Explicitly tagged as equivalent, representing exact semantic identity.",,
Identity,Exact equivalence,SNOMED - MedDRA eq,SNOMED to MedDRA equivalent (OMOP),"Explicitly tagged as equivalent, representing exact semantic identity.",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#equivalent-and-categorical-relationships
Identity,Exact equivalence,SNOMED - NDFRT eq,SNOMED to NDF-RT equivalent (RxNorm),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Leukocyte elastase] -> [Leukocyte Elastase]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#equivalent-and-categorical-relationships
Identity,Exact equivalence,SNOMED - RxNorm eq,SNOMED to RxNorm equivalent (RxNorm),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Calcium oxybate 500 mg/mL and magnesium oxybate 500 mg/mL and potassium oxybate 500 mg/mL and sodium oxybate 500 mg/mL oral solution] -> [calcium oxybate 234 MG/ML / magnesium oxybate 96 MG/ML / potassium oxybate 130 MG/ML / sodium oxybate 40 MG/ML Oral Solution]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#equivalent-and-categorical-relationships
Identity,Exact equivalence,SNOMED - VA Class eq,SNOMED to VA Class equivalent (RxNorm),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Immunoglobulin] -> [IMMUNOGLOBULINS]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#equivalent-and-categorical-relationships
Identity,Exact equivalence,Source - RxNorm eq,Drug Source to RxNorm equivalent (OMOP),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Fibryga] -> [Fibryga]",,
Identity,Exact equivalence,VA Class - SNOMED eq,VA Class to SNOMED equivalent (RxNorm),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [ANTIHISTAMINES] -> [Histamine receptor antagonist]",,
Identity,Exact equivalence,VA Class to ATC eq,VA Class to ATC equivalent (NDF-RT),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [CEPHALOSPORIN 3RD GENERATION] -> [Third-generation cephalosporins]",Is a cross-link between ATC and Veteran Affairs drug classification.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
Identity,Exact equivalence,VA Class to NDFRT eq,VA Class to NDFRT equivalent (NDF-RT),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [ANTINEOPLASTICS] -> [Antineoplastic Agent]",,
Identity,Exact equivalence,VAProd - RxNorm eq,VA Product to RxNorm equivalent (NDF-RT),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [HYDROGEN PEROXIDE 3% SPRAY,TOP] -> [hydrogen peroxide 30 MG/ML Topical Spray]",,
Association,Mapping,Concept alt_to from,Active alternative_to inactive (SNOMED),"This is SNOMED's ALTERNATIVE inactivation association, the same family as possibly_equivalent_to and was_a. SNOMED's own documentation describes it as one of several acceptable alternative concepts, where the actual choice must be decided by a human. It is not a safe automatic identity hop.",,
Association,Mapping,Concept alt_to to,Inactive alternative_to active (SNOMED),"This is SNOMED's ALTERNATIVE inactivation association, the same family as possibly_equivalent_to and was_a. SNOMED's own documentation describes it as one of several acceptable alternative concepts, where the actual choice must be decided by a human. It is not a safe automatic identity hop.",,
Association,Mapping,Concept poss_eq from,Active possibly_equivalent_to inactive (SNOMED),"SNOMED's loose, many-to-many fallback for retired concepts with no clean 1:1 successor. It is not a true equivalence, and not an administrative or billing link either; see linked known-issues page.",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Known-Issues-in-Vocabularies#snomed
Association,Mapping,Concept poss_eq to,Inactive possibly_equivalent_to active (SNOMED),"SNOMED's loose, many-to-many fallback for retired concepts with no clean 1:1 successor. It is not a true equivalence, and not an administrative or billing link either; see linked known-issues page.",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Known-Issues-in-Vocabularies#snomed
Identity,Version lineage,Concept replaced by,Concept replaced by,Handles lifecycle transitions and deprecated concept history.,,
Identity,Version lineage,Concept replaces,Concept replaces,Handles lifecycle transitions and deprecated concept history.,,
Composition,Structural,Has dir subst,Has direct substance (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Administration of SARS-CoV-2 mRNA vaccine] -> [SARS-CoV-2 mRNA vaccine],Direct substance (attribute) describes the Substance or Pharmaceutical/biologic product on which the procedure's method directly acts.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-substance
Attribute,Clinical,Has non-avail ind,Has VMP non-availability indicator (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators.",,
Association,Therapeutic,AB-drug cjgt of,Antibody-drug conjugate of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Loncastuximab tesirine] -> [Loncastuximab tesirine monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Anatomical,Absorbability of,Absorbability of (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Bioabsorbable] -> [Surgical plant polysaccharide hemostatic agent]",Represents the absorbability aspect of an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-absorbability
Attribute,Procedural,Acc device used by,Access device used by (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Echoendoscope] -> [Endoscopic ultrasonography guided core needle biopsy of oesophagus]",,
Association,Therapeutic,Accepted use of,Accepted use of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [Esophageal squamous cell carcinoma] -> [Fluorouracil],,
Attribute,Procedural,Access of,Access of (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Percutaneous approach - access] -> [Closed reduction and percutaneous fixation of bilateral sacral ala fracture using screw]","Access (attribute) describes the route used to access the site of a procedure. It distinguishes open, closed, and percutaneous procedures.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index
Association,Administrative,Add monitor ind of,NHS dm+d (dictionary of medicines and devices) additional monitoring indicator of,"Operational link for system billing, metadata, dictionaries, or encounter tracking.",,
Attribute,Procedural,Admin method of,Dose form administration method of (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Insufflate] -> [Gas for insufflation]",,
Attribute,Procedural,Affected by process,Affected by process (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Whey protein] -> [Measured quantity of intake of whey protein in 24 hours]","Describes that a process specifically acts on some entity, e.g. by transporting that entity in or out of the body, i.e. Rate of intake of protein.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#process-acts-on
Attribute,Pharmaceutical,AMP restr ind of,NHS dm+d (dictionary of medicines and devices) AMP (actual medicinal product) availability restriction indicator of,Qualifies physical drug delivery properties or dose forms.,,
Composition,Logical,Answer of,Answer of,"Conceptual grouping/aggregation of entities (e.g., Q&A, HOI, SMQ, Schema). Example: [Skin@None; no surgery of primary site; autopsy ONLY] -> [RX Hosp--Surg Prim Site]",,
Association,Therapeutic,Anticoag Rx of,Anticoag Rx of (HemOnc),Links therapeutic interventions to clinical indications or contraindications. Example: [enoxaparin] -> [Enoxaparin monotherapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
